,ulasan,rating,Label,clean_teks
0,"aplikasi favorit buat belanja online, ui simple, mitra/toko ada terpercaya. belakangan suka kesel proses pengiriman barang jauh melebihi estimasi waktu pengiriman. oleh ekspedisi sama ekspedisi banyak orang keluhkan, lion parcel. sering jadi was-was kalo paket handover lion parcel. copot aja mitra ekspedisi, masalah ekspedisinya. pelayanannya, pegawainya, pengirimannya, masalah semua. review playstore di google maps 3*",5,1,aplikasi favorit belanja online ui simple mitratoko percaya suka kesel proses kirim barang lebih estimasi kirim ekspedisi ekspedisi orang keluh lion parcel waswas kalo paket handover lion parcel copot aja mitra ekspedisi ekspedisi layan pegawai kirim review playstore google maps
1,"aplikasi nya bagus, nya update tan terakhir . sekarang ada update tan, update tan nya malah bikin susah akses, wishlist hilang menu keranjang, lalu di keranjang menghapus otomatis, klik tong sampah/recycle bin. buat kan update mempermudah. jangan malah mempersulit pelanggan. kembali kan updaten awal",1,0,aplikasi nya bagus nya update tan update tan update tan nya bikin susah akses wishlist hilang menu keranjang keranjang hapus otomatis klik tong sampahrecycle bin update mudah sulit langgan updaten
2,"aplikasi yg sangat bagus membantu. sekedar saran saja. baiknya expedisi yg banyak komplain bagus jgn ikut sertakan. merugikan pembeli jg merugikan penjual membuat nama tokopedia menjadi buruk. toko/penjual yg banyak komplain ( packing tidak aman, mengirimkan produk bermasalah, membuat harga murah fiktif padahal barang tdk hanya merusak harga, kurang responsif )baiknya keluarkan dapat merugikan pembeli merepotkan pihak tokopedia. trims",5,1,aplikasi bagus bantu dar saran baik expedisi komplain bagus jgn serta rugi beli jg rugi jual nama tokopedia buruk tokopenjual komplain packing aman kirim produk masalah harga murah fiktif barang rusak harga responsif baik keluar rugi beli repot tokopedia trims
3,"apk udah gak aktif sejak beberapa bulan yg lalu. pengalaman order produk ekspedisi sicepat, butuh waktu 14 hari dong yg 3 hari paling lama 4 hari. udah senang limit 500rb paylater toped. pembayaran gak pernah lewat jatuh tempo. beberapa bulan lunas, berharap nilai limit tambah sesudahnya gak bertambah tetap 500rb. kesannya ada pengalaman belanja yg baik. udah paling nyaman apk oren. terimakasih banyak atas pengalaman nya.",2,0,aplikasi udah gak aktif alam order produk ekspedisi sicepat butuh udah senang limit rb paylater toped bayar gak jatuh tempo lunas harap nilai limit gak tambah rb kesan alam belanja udah nyaman aplikasi oren terimakasih alam nya
4,"app nya jadi aneh, loading lambat, fitur hapus keranjang ribet, enak yg dulu tinggal swipe. minim promo, banyak produk yg udah di label bebas ongkir, jadi bayar ongkir. biasanya sekelas official store, semua produknya bebas ongkir, sekarang udah beda. kayanya udah waktunya buat salam perpisahan ama goto. si ijo udah berubah mau tokopedia ataupun gojek. padahal dulu jadi andalan banget, maaf pindah lain hati yg lebih user friendly, terimakasih 🙏",1,0,aplikasi nya aneh loading lambat fitur hapus keranjang ribet enak tinggal swipe minim promo produk udah label bebas ongkir bayar ongkir kelas official store produk bebas ongkir udah beda kaya udah salam pisah ama goto ijo udah ubah tokopedia gojek andal banget maaf pindah hati user friendly terimakasih
5,"daridulu punya apk nya tp blm pernah daftar krn biasa aja. daftar pertama pake sbg pengguna baru, muncul vc diskon cashback gratong dll. udah co eh pesanan dibatalkan sistem. mau coba co lg vouchrnya udah ilang krn kepake transaksi pertama tadi. kl niat mending gausah deh hihi.",1,0,daridulu aplikasi nya tp blm daftar krn aja daftar pake sbg guna muncul vc diskon cashback gratong dll udah co eh pesan batal sistem coba co lg vouchrnya udah ilang krn kepake transaksi kl niat mending gausah deh hihi
6,"tokopedia sering ngefreeze teros kalau belanja kadang keluar diskon tiba tiba hilang dana dikembalikan pembayaran, alasan memenuhi syarat, memang sistem nya error seharus nya awal bisa, mana uang gk bisa kembali, ngestuck saldo tokopedia dapat ditarik, yang laen jangan coba belanja tokopedia, kalau belanja jangan lihat promo hilang harga mahal. membantu sama sekali balasan nya terima kasih",1,0,tokopedia ngefreeze ros belanja kadang diskon hilang dana kembali bayar alas penuh syarat sistem nya error harus nya uang gk ngestuck saldo tokopedia tarik laen coba belanja tokopedia belanja lihat promo hilang harga mahal bantu balas nya terima kasih
7,"ada pemberitahuan mesti update, semuanya jadi serba lama, kada nge freez, kadang aplikasi berjalan, padahal di update awal pake udah bertahun tahun lancar banget, olshop paling enak lancar pake, banyak pembaruan malah jadi jelek. diperbaiki, saya lebih memilih sedikit fitur kaya sebelumnya lancar pada banyak fitur pop up promosi malah bikin jadi lemot.",2,0,pemberitahuan mesti update serba kada nge freez kadang aplikasi jalan update pake udah tahun lancar banget olshop enak lancar pake baru jelek baik pilih fitur kaya lancar fitur pop up promosi bikin lot
8,"semua ekpedisi pernah gunakan, baru satu ekspedisi jne paling buruk. trackingnya update titik pengirimannya paling sangat lambat. ditracking kamis siang sampai gudang bae kudus, tinggal pengiriman kurirnya saja. hingga sabtu siang belum tidak lanjut. terpaksa beri bintang satu ekspedisi tersebut digunakan aplikasi tokopedia ini.",1,0,ekpedisi ekspedisi jne buruk trackingnya update titik kirim lambat ditracking kamis siang gudang bae kudus tinggal kirim kurir sabtu siang paksa bintang ekspedisi aplikasi tokopedia
9,disuruh update..tapi diupdate gak bisa..muter terus..jadi gak belanja tokopedia..sampai ini bisa instal ulang terus muter saja...instalnya sanhat lambat padahal sinyal kuat..muter2 terus berjam2..,1,0,suruh updatetapi diupdate gak bisamuter terusjadi gak belanja tokopediasampai instal ulang muter sajainstalnya sanhat lambat sinyal kuatmuter jam
